Latitud,Longitud,Lugar,Dirección,Datos de mediciones,Mediciones,Mayor Valor,Menor Valor
-3.6107030052961,40.4343739876882,Estadio Metropolitano,"Estadio Metropolitano, Av. de Arcentales, Madrid, provincia de Madrid 28022, España","[['1400', '', '2024-01-12T23:42', 'moderado']]",1,1400,1400
-3.685678,40.435315,Hotel Meliá Serrano,"Hotel Meliá Serrano, Calle de Claudio Coello 139, Madrid, provincia de Madrid 28006, España","[['1300', '', '2024-01-12T20:08', 'moderado'], ['800', '', '2024-01-08T12:34', 'vacío'], ['2500', '', '2024-01-12T20:13', 'lleno']]",3,2500,800
-3.691362,40.413561,Museo Nacional del Prado,"Museo Nacional del Prado, C. de Ruiz de Alarcón, 23, Madrid, provincia de Madrid 28014, España","[['1300', 'Device 2', '2023-09-13', ''], ['1700', 'Device 3', '2023-09-13', ''], ['700', 'Device 1', '2023-09-16T18:51', 'vacío']]",3,1700,700
-3.691998,40.457144,Hotel Villa Magna,"Hotel Villa Magna, P. de la Castellana, 22, Madrid, provincia de Madrid 28001, España","[['700', '', '2024-01-12T23:37', 'vacío']]",1,700,700
-3.692413,40.435313,Museo Sorolla,"Museo Sorolla, P. del General Martínez Campos, 37, Madrid, provincia de Madrid 28010, España","[['1000', 'Device 1', '2023-09-04', ''], ['1900', '', '2024-01-12T20:15', 'moderado'], ['2100', '', '2024-01-12T20:17', 'moderado']]",3,2100,1000
-3.692838,40.421564,The Bridge,"Paseo De Recoletos 15, 28004 Madrid, Madrid, Spain","[['2500', '', '2024-02-13T12:33', 'lleno']]",1,2500,2500
-3.693906,40.446627,Calle De Raimundo Fernández Villaverde,"Calle De Raimundo Fernández Villaverde 67, 28003 Madrid, provincia de Madrid, España","[['2100', 'Device 1', '2023-09-11', '']]",1,2100,2100
-3.694555,40.408319,Museo reina Sofía,"Museo Nacional Centro de Arte Reina Sofía (MNCARS), C. de Santa Isabel, 52, Madrid, provincia de Madrid 28012, España","[['800', 'Medidor A', '2023-07-02', '']]",1,800,800
-3.695956,40.441155,Casa,"Calle De Modesto Lafuente 48, 28003 Madrid, provincia de Madrid, España","[['900', 'Device 1', '2023-09-09', ''], ['900', 'Device 1', '2023-09-09', '']]",2,900,900
-3.696845,40.430668,Mercato Ballaró,"Mercato Ballaró, C. Santa Engracia, 24, Madrid, provincia de Madrid 28010, España","[['560', '', '2024-01-12T20:20', 'vacío']]",1,560,560
